ds,y
29/04/2024,37617
30/04/2024,34359
01/05/2024,34672
02/05/2024,35824
03/05/2024,34609
04/05/2024,36972
05/05/2024,41844
06/05/2024,45897
07/05/2024,35759
08/05/2024,33012
09/05/2024,28792
10/05/2024,27835
11/05/2024,31059
12/05/2024,43051
13/05/2024,38076
14/05/2024,32090
15/05/2024,29103
16/05/2024,29038
17/05/2024,26300
18/05/2024,28194
19/05/2024,31092
20/05/2024,29828
21/05/2024,27418
22/05/2024,25926
23/05/2024,24111
24/05/2024,24444
25/05/2024,26729
26/05/2024,33118
27/05/2024,35018
28/05/2024,29633
29/05/2024,26756
30/05/2024,27510
31/05/2024,25728
01/06/2024,28523
02/06/2024,31979
03/06/2024,30002
04/06/2024,28879
05/06/2024,26313
06/06/2024,25667
07/06/2024,24768
08/06/2024,30046
09/06/2024,37483
10/06/2024,33424
11/06/2024,30679
12/06/2024,29742
13/06/2024,29089
14/06/2024,28109
15/06/2024,34123
16/06/2024,35136
17/06/2024,32400
18/06/2024,31716
19/06/2024,30129
20/06/2024,28325
21/06/2024,29125
22/06/2024,32233
23/06/2024,38946
24/06/2024,39923
25/06/2024,39006
26/06/2024,35488
27/06/2024,31265
28/06/2024,28322
29/06/2024,32452
30/06/2024,38326
01/07/2024,30425
02/07/2024,32595
03/07/2024,31658
04/07/2024,28761
05/07/2024,27914
06/07/2024,33097
07/07/2024,39020
08/07/2024,34612
09/07/2024,35619
10/07/2024,31788
11/07/2024,33502
12/07/2024,31621
13/07/2024,36525
14/07/2024,40042
15/07/2024,36959
16/07/2024,55759
17/07/2024,49915
18/07/2024,32191
19/07/2024,30031
20/07/2024,36320
21/07/2024,40774
22/07/2024,36425
23/07/2024,32437
24/07/2024,32166
25/07/2024,32832
26/07/2024,30210
27/07/2024,32410
28/07/2024,35255
29/07/2024,34782
30/07/2024,34157
31/07/2024,33015
01/08/2024,29959
02/08/2024,29832
03/08/2024,32518
04/08/2024,37431
05/08/2024,33464
